,date,action,price,shares,capital
0,2004-09-16,BUY,2.828722715377808,3535.164456253319,
1,2004-11-11,SELL,4.542535781860352,,16058.611037291594
2,2004-11-15,BUY,4.588451862335205,3499.788494919258,
3,2004-11-16,SELL,4.282423496246338,,14987.576482534838
4,2004-11-30,BUY,4.5167236328125,3318.2407649773086,
5,2004-12-09,SELL,4.304513454437256,,14283.412017906998
6,2004-12-15,BUY,4.4621195793151855,3201.0374809585705,
7,2005-01-24,SELL,4.485450744628906,,14358.095952550659
8,2005-02-02,BUY,5.111904144287109,2808.7568834006365,
9,2005-02-11,SELL,4.651248455047607,,13064.226114521543
10,2005-02-17,BUY,4.911855220794678,2659.733548174067,
11,2005-02-24,SELL,4.688229084014893,,12469.440176279786
12,2005-04-01,BUY,4.468573570251465,2790.4744053655763,
13,2005-07-28,SELL,7.284636974334717,,20327.59302926076
14,2005-08-31,BUY,7.098487377166748,2863.651359675194,
15,2005-10-12,SELL,7.470041751861572,,21391.595219548857
16,2005-10-21,BUY,8.436280250549316,2535.666737500331,
17,2005-12-09,SELL,10.15629768371582,,25752.98621274986
18,2005-12-13,BUY,10.362054824829102,2485.316536932586,
19,2006-01-20,SELL,9.914552688598633,,24640.801753263615
20,2006-02-28,BUY,9.000189781188965,2737.809129843533,
21,2006-03-09,SELL,8.513222694396973,,23307.578817111193
22,2006-03-28,BUY,9.362062454223633,2489.5773694177965,
23,2006-05-02,SELL,9.798892974853516,,24395.102195542342
24,2006-06-07,BUY,9.593134880065918,2542.975002492065,
25,2006-07-18,SELL,10.003655433654783,,25439.045701328032
26,2006-08-18,BUY,9.51495361328125,2673.5858875674885,
27,2006-08-24,SELL,9.275938034057615,,24800.017021806954
28,2006-08-31,BUY,9.39507293701172,2639.6832880464112,
29,2006-12-01,SELL,11.933402061462402,,31500.401991180897
30,2007-01-08,BUY,12.002403259277344,2624.5078848548465,
31,2007-02-02,SELL,11.950776100158691,,31364.906105001337
32,2007-03-23,BUY,11.462568283081056,2736.2895758096784,
33,2007-05-03,SELL,11.74551486968994,,32139.129900450156
34,2007-05-22,BUY,11.810791969299316,2721.166369197919,
35,2007-07-23,SELL,12.720441818237305,,34614.438477126176
36,2007-08-27,BUY,12.739056587219238,2717.1901027470067,
37,2007-11-13,SELL,16.394777297973633,,44547.72661079527
38,2007-11-29,BUY,17.29945945739746,2575.093558298789,
39,2007-12-18,SELL,16.71246910095215,,43036.17152512943
40,2007-12-26,BUY,17.64297103881836,2439.281424338368,
41,2008-01-03,SELL,17.009811401367188,,41491.71698285397
42,2008-03-26,BUY,11.372225761413574,3648.5133036698107,
43,2008-04-17,SELL,11.157532691955566,,40708.40646273072
44,2008-04-18,BUY,13.388097763061523,3040.6415596282386,
45,2008-05-21,SELL,13.650690078735352,,41506.85557100758
46,2008-06-03,BUY,14.080324172973633,2947.8622126241657,
47,2008-06-09,SELL,13.846271514892578,,40816.9005844862
48,2008-06-18,BUY,13.958209991455078,2924.221702458513,
49,2008-06-20,SELL,13.562332153320312,,39659.266018690156
50,2008-08-11,BUY,12.430793762207031,3190.404955415239,
51,2008-08-25,SELL,11.988252639770508,,38247.380628693645
52,2008-10-31,BUY,8.919276237487793,4288.170879598905,
53,2008-11-06,SELL,8.220844268798828,,35252.38499918069
54,2008-12-09,BUY,7.594141006469727,4642.0503608173585,
55,2008-12-30,SELL,7.52315616607666,,34922.86979522149
56,2009-01-02,BUY,7.975128173828125,4378.972855862985,
57,2009-01-15,SELL,7.420898914337158,,32495.91491198551
58,2009-01-27,BUY,8.227295875549316,3949.7685999794967,
59,2009-02-23,SELL,8.19205379486084,,32356.71684828422
60,2009-03-18,BUY,8.267504692077637,3913.7222237430537,
61,2009-05-18,SELL,9.84952449798584,,38548.302921068826
62,2009-05-21,BUY,9.84108543395996,3917.078373087282,
63,2009-06-18,SELL,10.27692413330078,,40255.517264411246
64,2009-07-14,BUY,10.54076099395752,3819.033302006153,
65,2009-09-03,SELL,11.355595588684082,,43367.39771729868
66,2009-09-10,BUY,11.688677787780762,3710.205594223374,
67,2009-11-04,SELL,13.410930633544922,,49757.30986031999
68,2009-11-09,BUY,13.96143627166748,3563.91053843755,
69,2010-01-11,SELL,14.919483184814451,,53171.703350402044
70,2010-02-19,BUY,13.421603202819824,3961.650672196216,
71,2010-02-26,SELL,13.075117111206056,,51799.04649265372
72,2010-03-04,BUY,13.764863014221191,3763.1356330344474,
73,2010-03-25,SELL,13.97061824798584,,52573.331344516795
74,2010-03-31,BUY,14.07585620880127,3735.00059709647,
75,2010-04-21,SELL,13.757665634155272,,51384.889358223525
76,2010-06-08,BUY,12.032186508178713,4270.619419279726,
77,2010-06-09,SELL,11.76512336730957,,50244.36432265393
78,2010-06-16,BUY,12.441465377807615,4038.460325764921,
79,2010-06-24,SELL,11.791929244995115,,47621.238420139875
80,2010-07-14,BUY,12.1950044631958,3904.979171090876,
81,2010-08-17,SELL,12.174653053283691,,47541.766588330756
82,2010-09-09,BUY,11.818733215332031,4022.577185062142,
83,2010-11-15,SELL,14.779500007629396,,59451.67953731576
84,2010-12-10,BUY,14.69858741760254,4044.720614861153,
85,2011-01-28,SELL,14.91650676727295,,60333.102423304794
86,2011-02-11,BUY,15.500019073486328,3892.453431009516,
87,2011-02-25,SELL,15.141124725341797,,58936.122886499696
88,2011-03-29,BUY,14.438472747802734,4081.880675050529,
89,2011-04-11,SELL,14.330259323120115,,58494.40859950668
90,2011-05-12,BUY,13.279881477355955,4404.7387545775755,
