,date,action,price,shares,capital
0,2010-02-12,BUY,0.397655576467514,25147.390334200278,
1,2010-02-24,SELL,0.3793196976184845,,9538.90049746285
2,2010-03-05,BUY,0.3935298323631286,24239.332607091535,
3,2010-04-01,SELL,0.3946758210659027,,9566.67849879336
4,2010-04-05,BUY,0.4006349742412567,23878.790205251633,
5,2010-04-06,SELL,0.3907795548439026,,9331.343006619174
6,2010-04-15,BUY,0.4127823114395141,22605.966263616207,
7,2010-04-21,SELL,0.3804656863212585,,8600.794469441955
8,2010-07-26,BUY,0.2418019920587539,35569.57656226464,
9,2010-07-27,SELL,0.2397392094135284,,8527.422164211295
10,2010-08-20,BUY,0.2285086363554,37317.72374217216,
11,2010-10-07,SELL,0.2452400624752044,,9151.800901962719
12,2010-10-22,BUY,0.2704515159130096,33838.97062313522,
13,2011-02-11,SELL,0.537923276424408,,18202.769948426187
14,2011-03-29,BUY,0.4393689930438995,41429.345804125645,
15,2011-04-05,SELL,0.402927041053772,,16693.003717649848
16,2011-04-19,BUY,0.4130115807056427,40417.761867910216,
17,2011-05-17,SELL,0.4040729105472564,,16331.722675772397
18,2011-05-31,BUY,0.4593092203140259,35557.14092699148,
19,2011-06-07,SELL,0.413928359746933,,14718.109021200124
20,2011-08-29,BUY,0.3062062263488769,48066.00178152813,
21,2011-09-26,SELL,0.3167491257190704,,15224.864041110315
22,2011-10-11,BUY,0.3350847661495209,45435.85856217858,
23,2011-11-02,SELL,0.3167491257190704,,14391.768475865405
24,2011-11-16,BUY,0.334168016910553,43067.46231707046,
25,2011-11-17,SELL,0.3222498297691345,,13878.482400264571
26,2011-11-28,BUY,0.3398979306221008,40831.32361195425,
27,2011-12-13,SELL,0.3238542675971985,,13223.39840337364
28,2012-01-05,BUY,0.33714759349823,39221.39341458198,
29,2012-01-17,SELL,0.3098732531070709,,12153.660768768767
30,2012-01-24,BUY,0.3424191474914551,35493.51973394553,
31,2012-02-28,SELL,0.3513577580451965,,12470.923518852042
32,2012-03-29,BUY,0.349065899848938,35726.55915186492,
33,2012-04-10,SELL,0.3245419263839721,,11594.766330217171
34,2012-05-17,BUY,0.2899332344532013,39991.15986852727,
35,2012-05-18,SELL,0.2768689393997192,,11072.310018163758
36,2012-06-15,BUY,0.2816821932792663,39307.809589463155,
37,2012-07-12,SELL,0.2842032611370086,,11171.407673478008
38,2012-07-27,BUY,0.3089564144611358,36158.52317862551,
39,2012-08-29,SELL,0.3282090127468109,,11867.553194839358
40,2012-11-06,BUY,0.2981842756271362,39799.39307624361,
41,2012-11-12,SELL,0.2732017934322357,,10873.265565944259
42,2012-11-29,BUY,0.2777325212955475,39150.13450791935,
43,2012-12-28,SELL,0.2791167795658111,,10927.45946341878
44,2013-01-03,BUY,0.2936491668224334,37212.63568245198,
45,2013-01-11,SELL,0.2816540598869324,,10481.089919055927
