date,value
2004-09-16,10000.0
2004-09-17,10308.853545987478
2004-09-20,10472.933467278877
2004-09-21,10339.563588017823
2004-09-22,10386.942652477474
2004-09-23,10601.038069545652
2004-09-24,10514.172377600009
2004-09-27,10376.413784186687
2004-09-28,11131.000378186294
2004-09-29,11501.272322536688
2004-09-30,11371.412066039231
2004-10-01,11632.887390415946
2004-10-04,11850.486530305516
2004-10-05,12140.915399633006
2004-10-06,12027.72500841374
2004-10-07,12183.03340134281
2004-10-08,12084.758906868821
2004-10-11,11868.036329821263
2004-10-12,12055.802833371386
2004-10-13,12362.901567977067
2004-10-14,12459.419565371485
2004-10-15,12644.553009000023
2004-10-18,13087.655525637228
2004-10-19,12980.608659952026
2004-10-20,12326.927934650215
2004-10-21,13106.958450837003
2004-10-22,15129.42071080312
2004-10-25,16442.928215487464
2004-10-26,15951.569228699711
2004-10-27,16317.453301746726
2004-10-28,16960.60263021109
2004-10-29,16727.209345036455
2004-11-01,17200.140283768676
2004-11-02,17098.362909322186
2004-11-03,16817.584659745695
2004-11-04,16206.01687906037
2004-11-05,14859.171329517418
2004-11-08,15139.949579093907
2004-11-09,14802.14080245788
2004-11-10,14728.442095817925
2004-11-11,16058.611037291594
2004-11-12,16058.611037291594
2004-11-15,16058.611037291594
2004-11-16,14987.576482534838
2004-11-17,14987.576482534838
2004-11-18,14987.576482534838
2004-11-19,14987.576482534838
2004-11-22,14987.576482534838
2004-11-23,14987.576482534838
2004-11-24,14987.576482534838
2004-11-26,14987.576482534838
2004-11-29,14987.576482534838
2004-11-30,14987.576482534838
2004-12-01,14821.212867140242
2004-12-02,14775.08997366419
2004-12-03,14857.451379293998
2004-12-06,14518.959973515672
2004-12-07,14118.69395342887
2004-12-08,13999.277589229057
2004-12-09,14283.412017906998
2004-12-10,14283.412017906998
2004-12-13,14283.412017906998
2004-12-14,14283.412017906998
2004-12-15,14283.412017906998
2004-12-16,14020.431581280644
2004-12-17,14307.249394663728
2004-12-20,14699.724316100705
2004-12-21,14598.826440980634
2004-12-22,14801.420484621796
2004-12-23,14928.54145845997
2004-12-27,15247.133791401538
2004-12-28,15314.66361290831
2004-12-29,15325.787823819692
2004-12-30,15699.1983387963
2004-12-31,15317.050861243299
2005-01-03,16105.189298600493
2005-01-04,15452.905744910633
2005-01-05,15374.253238866097
2005-01-06,14980.18325700069
2005-01-07,15401.265472743527
2005-01-10,15497.396483061697
2005-01-11,15376.632855333006
2005-01-12,15522.819762005163
2005-01-13,15518.849664230669
2005-01-14,15887.494840778994
2005-01-18,16199.734406731928
2005-01-19,15675.362488413186
2005-01-20,15406.826051825603
2005-01-21,14958.734654952566
2005-01-24,14358.095952550659
2005-01-25,14358.095952550659
2005-01-26,14358.095952550659
2005-01-27,14358.095952550659
2005-01-28,14358.095952550659
2005-01-31,14358.095952550659
2005-02-01,14358.095952550659
2005-02-02,14358.095952550659
2005-02-03,14699.689429376054
2005-02-04,14246.553394109378
2005-02-07,13665.845822825853
2005-02-08,13847.796415286784
2005-02-09,13355.620551531638
2005-02-10,13104.656156807088
2005-02-11,13064.226114521543
2005-02-14,13064.226114521543
2005-02-15,13064.226114521543
2005-02-16,13064.226114521543
2005-02-17,13064.226114521543
2005-02-18,13067.528663006082
2005-02-22,12633.154759104302
2005-02-23,12803.470634118532
2005-02-24,12469.440176279786
2005-02-25,12469.440176279786
2005-02-28,12469.440176279786
2005-03-01,12469.440176279786
2005-03-02,12469.440176279786
2005-03-03,12469.440176279786
2005-03-04,12469.440176279786
2005-03-07,12469.440176279786
2005-03-08,12469.440176279786
2005-03-09,12469.440176279786
2005-03-10,12469.440176279786
2005-03-11,12469.440176279786
2005-03-14,12469.440176279786
2005-03-15,12469.440176279786
2005-03-16,12469.440176279786
2005-03-17,12469.440176279786
2005-03-18,12469.440176279786
2005-03-21,12469.440176279786
2005-03-22,12469.440176279786
2005-03-23,12469.440176279786
2005-03-24,12469.440176279786
2005-03-28,12469.440176279786
2005-03-29,12469.440176279786
2005-03-30,12469.440176279786
2005-03-31,12469.440176279786
2005-04-01,12469.440176279786
2005-04-04,12833.048431120938
2005-04-05,13060.220760429285
2005-04-06,13105.237683419287
2005-04-07,13419.673545582042
2005-04-08,13301.24066355996
2005-04-11,13382.9702231726
2005-04-12,13433.52910301568
2005-04-13,13362.18888292497
2005-04-14,13259.687297277897
2005-04-15,12812.964326261304
2005-04-18,12949.404243599767
2005-04-19,13256.225071171843
2005-04-20,13720.2591727187
2005-04-21,14144.129056351945
2005-04-22,14946.841255813353
2005-04-25,15481.52233386858
2005-04-26,15150.463262350358
2005-04-27,15221.802151839185
2005-04-28,15198.94640325207
2005-04-29,15237.040204631852
2005-05-02,15395.642626975085
2005-05-03,15665.750817924523
2005-05-04,15825.73972743244
2005-05-05,15720.466498057884
2005-05-06,15792.497300527166
2005-05-09,15653.97765244168
2005-05-10,15777.26190893827
2005-05-11,16018.9737250494
2005-05-12,15840.980441428877
2005-05-13,15876.994512061632
2005-05-16,16002.353176897706
2005-05-17,16146.410790030613
2005-05-18,16564.046803830326
2005-05-19,16565.429299189353
2005-05-20,16733.73180927783
2005-05-23,17692.278779160646
2005-05-24,17730.36858873477
2005-05-25,18063.510052203786
2005-05-26,17951.99896119004
2005-05-27,18422.9668291622
2005-05-31,19203.51785422072
2005-06-01,19946.6683214818
2005-06-02,19939.741208065923
2005-06-03,19410.60208686378
2005-06-06,20150.291658620692
2005-06-07,20301.273723965707
2005-06-08,19362.12160716584
2005-06-09,19829.621926624404
2005-06-10,19565.74494430473
2005-06-13,19583.05740543688
2005-06-14,19278.31630861183
2005-06-15,19032.44636160853
2005-06-16,19215.28968910168
2005-06-17,19413.373730591262
2005-06-20,19856.631814298027
2005-06-21,19935.58573837753
2005-06-22,20036.70615926746
2005-06-23,20065.101203503884
2005-06-24,20587.31720309581
2005-06-27,21061.741974766483
2005-06-28,20916.297874468888
2005-06-29,20273.57059270974
2005-06-30,20372.612613454534
2005-07-01,20171.76225064501
2005-07-05,20480.656155954686
2005-07-06,20190.45853773807
2005-07-07,20468.882990471844
2005-07-08,20516.67288779121
2005-07-11,20317.2063509426
2005-07-12,20208.46956486011
2005-07-13,20698.8243023039
2005-07-14,20839.42101993264
2005-07-15,20860.198368374615
2005-07-18,20745.922286642814
2005-07-19,21463.4453615893
2005-07-20,21608.88946188689
2005-07-21,21743.25364028398
2005-07-22,20944.00233632674
2005-07-25,20490.35624369993
2005-07-26,20506.975461249738
2005-07-27,20565.15469809104
2005-07-28,20327.59302926076
2005-07-29,20327.59302926076
2005-08-01,20327.59302926076
2005-08-02,20327.59302926076
2005-08-03,20327.59302926076
2005-08-04,20327.59302926076
2005-08-05,20327.59302926076
2005-08-08,20327.59302926076
2005-08-09,20327.59302926076
2005-08-10,20327.59302926076
2005-08-11,20327.59302926076
2005-08-12,20327.59302926076
2005-08-15,20327.59302926076
2005-08-16,20327.59302926076
2005-08-17,20327.59302926076
2005-08-18,20327.59302926076
2005-08-19,20327.59302926076
2005-08-22,20327.59302926076
2005-08-23,20327.59302926076
2005-08-24,20327.59302926076
2005-08-25,20327.59302926076
2005-08-26,20327.59302926076
2005-08-29,20327.59302926076
2005-08-30,20327.59302926076
2005-08-31,20327.59302926076
2005-09-01,20345.364951585023
2005-09-02,20501.72919263563
2005-09-06,20406.48862112025
2005-09-07,20958.03678257792
2005-09-08,20994.993914941057
2005-09-09,21257.97603498348
2005-09-12,22014.927472945565
2005-09-13,22152.81656155305
2005-09-14,21535.878923004173
2005-09-15,21508.869424458346
2005-09-16,21336.867530356838
2005-09-19,21592.02672738768
2005-09-20,21884.858576358907
2005-09-21,22168.44875262244
2005-09-22,22130.781562663564
2005-09-23,22414.373104422473
2005-09-26,22337.610416340973
2005-09-27,22313.445244664254
2005-09-28,21749.107853510915
2005-09-29,22006.399954319746
2005-09-30,22492.553176704714
2005-10-03,22650.34299492832
2005-10-04,22104.484852704238
2005-10-05,22083.872699996995
2005-10-06,22228.865095552675
2005-10-07,22245.92559478582
2005-10-10,22079.605526945645
2005-10-11,21756.21389144987
2005-10-12,21391.595219548857
2005-10-13,21391.595219548857
2005-10-14,21391.595219548857
2005-10-17,21391.595219548857
2005-10-18,21391.595219548857
2005-10-19,21391.595219548857
2005-10-20,21391.595219548857
2005-10-21,21391.595219548857
2005-10-24,21942.277451576414
2005-10-25,21832.766835393668
2005-10-26,22369.602452832554
2005-10-27,22219.81671161064
2005-10-28,22541.413161863336
2005-10-31,23420.61756963816
2005-11-01,23876.264532134686
2005-11-02,23895.14825782852
2005-11-03,24289.75017340289
2005-11-04,24571.702648879716
2005-11-07,24861.19990911321
2005-11-08,24538.34357653416
2005-11-09,23861.79160368321
2005-11-10,24613.86397010805
2005-11-11,24569.809198089824
2005-11-14,24983.29483935803
2005-11-15,24720.85482163809
2005-11-16,25057.557768805807
2005-11-17,25391.112219257757
2005-11-18,25187.204738408018
2005-11-21,25763.05318035947
2005-11-22,26210.52420783604
2005-11-23,26612.678162767796
2005-11-25,26975.183306523195
2005-11-28,26651.700660081337
2005-11-29,25396.778062425983
2005-11-30,25482.998992073022
2005-12-01,26060.73846661413
